provider,document,version,is_companion,publication_date,date_source,currently_hosted,retrieved_from,retrieval_url,wayback_capture_timestamp,local_filename,sha256,txt_filename,revision_account_exists,revision_account_filename,revision_account_source,saferai_quote_check,notes
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,no,2023-09-19,"title page: 'Version 1.0 Effective September 19, 2023'",yes,provider,https://www-cdn.anthropic.com/1adf000c8f675958c2ee23805d91aaade1cd4613/responsible-scaling-policy.pdf,,documents/anthropic_rsp_v1.0_2023-09-19.pdf,14785337769bee567dd488d346f9cf6e36fed7792da9656a0a8b55b2f6d21c43,documents/anthropic_rsp_v1.0_2023-09-19.txt,na,changelogs/anthropic_rsp_v1.0_2023-09-19_revision-account.md,announcement post; https://www.anthropic.com/news/anthropics-responsible-scaling-policy,na,"First version. Title as printed 'Anthropic's Responsible Scaling Policy'; later versions print 'Responsible Scaling Policy'. Live bytes match the only Wayback digest of this URL (capture 20240304173919) and the digest of the original 2023 upload at www-files.anthropic.com/production/files/responsible-scaling-policy-1.0.pdf (Wayback 20230919161730, digest DLPQADEPM5MVRQXOEOAF3ENKVXQ42RQT), so the file is byte-identical to the 2023 release. No in-document changelog."
Anthropic,Responsible Scaling Policy,v2.0,no,2024-10-15,"title page: 'Effective October 15, 2024' (no version number printed; 'Version 2.0' per RSP page, 'RSP-2024' per changelog)",yes,provider,https://www-cdn.anthropic.com/616dee633636e5bd309cb73aed8622e80fe47839.pdf,,documents/anthropic_rsp_v2.0_2024-10-15.pdf,cc522e2770c6fec6c2808ce5abd8b757a8d7fe2078d029879295df8443185f7f,documents/anthropic_rsp_v2.0_2024-10-15.txt,yes,changelogs/anthropic_rsp_v2.0_2024-10-15_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://www-cdn.anthropic.com/616dee633636e5bd309cb73aed8622e80fe47839.pdf | announcement post; https://www.anthropic.com/news/announcing-our-updated-responsible-scaling-policy,na,"Identifier conflict: title page has no version number; page calls it Version 2.0; changelogs call it RSP-2024 and (from v2.1) RSP v2.0. Live bytes (sha256 cc522e2770c6...) are identical to the earliest Wayback capture of the original upload at assets.anthropic.com/m/24a47b00f10301cd/original/Anthropic-Responsible-Scaling-Policy-2024-10-15.pdf (capture 20241022154907, same sha256) and to the only Wayback digest of the live URL (capture 20250401073019). The page entry dated October 15, 2024 describes planned safeguards and v1.0 shortfalls rather than the changes; the change summary is in the changelog and the announcement post. A silent re-upload exists (next row)."
Anthropic,Responsible Scaling Policy,v2.0-reupload-20241101,no,2024-10-15,"title page: 'Effective October 15, 2024'",no,wayback,https://web.archive.org/web/20241101012028id_/https://assets.anthropic.com/m/24a47b00f10301cd/original/Anthropic-Responsible-Scaling-Policy-2024-10-15.pdf,20241101012028,documents/anthropic_rsp_v2.0-reupload-20241101_2024-10-15.pdf,22b37ecf913ea432e4c48a050a1b7fade32e155c96d7b6a9f85c2977501902f3,documents/anthropic_rsp_v2.0-reupload-20241101_2024-10-15.txt,yes,changelogs/anthropic_rsp_v2.0-reupload-20241101_2024-10-15_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; assets.anthropic.com file (Wayback 20241101012028) | announcement post; https://www.anthropic.com/news/announcing-our-updated-responsible-scaling-policy,na,"SILENT VARIANT of v2.0: the only extracted-text difference from the v2.0 file is the changelog line for v1.0, 'Initial version.' becoming 'Initial version, link here.' with a hyperlink to the v1.0 PDF. Captures of the assets.anthropic.com URL on 20241022154907 and 20241028110643 carry the original digest; 20241101012028 is the first capture with the new file (Wayback digest RCOS266OYENYSUELJ5Y7DZ544ULCPXSY; 101 captures of the URL to 20260428160734). The assets URL now returns an HTML page (HTTP 200, text/html), so this variant is no longer hosted. No provider account of the re-upload."
Anthropic,Responsible Scaling Policy,v2.1,no,2025-03-31,"title page: 'Version 2.1 Effective March 31, 2025'",yes,wayback,https://web.archive.org/web/20250401013032id_/https://www-cdn.anthropic.com/080b003762c270d033dc2ea1153b9df665078da1.pdf,20250401013032,documents/anthropic_rsp_v2.1_2025-03-31.pdf,c239fc31d4acabba7b35437dba103fcae4c4d4b8ae25b43bdff28b63f5c40ac5,documents/anthropic_rsp_v2.1_2025-03-31.txt,yes,changelogs/anthropic_rsp_v2.1_2025-03-31_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; www-cdn.anthropic.com/080b003762c270d033dc2ea1153b9df665078da1.pdf (Wayback 20250401013032),na,"Earliest v2.1 file (served 1 April 2025). The 080b URL now returns HTTP 404, but a byte-different, text-identical copy is still served unlinked at https://www-cdn.anthropic.com/f3b282f157017d08e36636bda1bf3bd4d9f23ee7.pdf (sha256 4a22e7f0abe3...; Wayback 20250401141944), hence currently_hosted yes. The 080b URL has two Wayback captures (20250401013032, 20250401020540) with different CDX digests but identical retrieved bytes (same sha256). Date conflict: effective date March 31, 2025 versus first Wayback evidence 1 April 2025. A silent re-upload with corrected table of contents exists (next row)."
Anthropic,Responsible Scaling Policy,v2.1-reupload-20250402,no,2025-03-31,"title page: 'Version 2.1 Effective March 31, 2025'",yes,provider,https://www-cdn.anthropic.com/17310f6d70ae5627f55313ed067afc1a762a4068.pdf,,documents/anthropic_rsp_v2.1-reupload-20250402_2025-03-31.pdf,f0ac67ca61b1726cbcd159e6d2f595ce4f26de2ee29c594ba488f53f780d4ee7,documents/anthropic_rsp_v2.1-reupload-20250402_2025-03-31.txt,yes,changelogs/anthropic_rsp_v2.1-reupload-20250402_2025-03-31_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://www-cdn.anthropic.com/17310f6d70ae5627f55313ed067afc1a762a4068.pdf,na,"SILENT VARIANT of v2.1: the current file (linked as 'Version 2.1' on the RSP page) differs from the 1 April 2025 file only in the table of contents on PDF page 4: page numbers for sections 3.2 to 7.2 are each one higher (e.g. '3.2. Comprehensive Assessment 5' becomes '6', '7.2. Transparency and External Input 12' becomes '13') and the line 'Changelog 17' is removed; body text is identical. Live bytes match the only Wayback digest of this URL (first capture 20250402134435). No provider account of the re-upload."
Anthropic,Responsible Scaling Policy,v2.2,no,2025-05-14,"title page: 'Version 2.2 Effective May 14, 2025'",yes,provider,https://www-cdn.anthropic.com/872c653b2d0501d6ab44cf87f43e1dc4853e4d37.pdf,,documents/anthropic_rsp_v2.2_2025-05-14.pdf,4807f3970c76968a75a6dffa55d8ffe547014522b63c67e261cd02f7b6fc1e39,documents/anthropic_rsp_v2.2_2025-05-14.txt,yes,changelogs/anthropic_rsp_v2.2_2025-05-14_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://www-cdn.anthropic.com/872c653b2d0501d6ab44cf87f43e1dc4853e4d37.pdf | redline PDF; https://cdn.sanity.io/files/4zrzovbb/website/ee775bdcf76b2e2af32d658c934f460383d07c46.pdf,na,Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20250514223759). PDF CreationDate 2025-05-13. Redline v2.1 to v2.2 saved in changelogs/.
Anthropic,Responsible Scaling Policy,v3.0,no,2026-02-24,"title page: 'Version 3.0 Effective February 24, 2026'",yes,provider,https://www-cdn.anthropic.com/e670587677525f28df69b59e5fb4c22cc5461a17.pdf,,documents/anthropic_rsp_v3.0_2026-02-24.pdf,a71bfa08a7fa4b750b2b408b4b9c8681ad50c6b53271c314f591c59c84c38064,documents/anthropic_rsp_v3.0_2026-02-24.txt,yes,changelogs/anthropic_rsp_v3.0_2026-02-24_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://www-cdn.anthropic.com/e670587677525f28df69b59e5fb4c22cc5461a17.pdf | announcement post; https://www.anthropic.com/news/responsible-scaling-policy-v3 | third-party post (not provider); https://www.lesswrong.com/posts/HzKuzrKfaDJvQqmjh/responsible-scaling-policy-v3,na,"Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20260225044800). RSP page links this version via https://anthropic.com/responsible-scaling-policy/rsp-v3-0 (HTML URL redirecting to the PDF); the direct PDF URL was fetched. Comprehensive rewrite; no redline offered. In-document changelog entry says 'see here', linking to https://www.anthropic.com/news/responsible-scaling-policy-v3."
Anthropic,Responsible Scaling Policy,v3.1,no,2026-04-02,"title page: 'Version 3.1 Effective April 2, 2026'",yes,provider,https://www-cdn.anthropic.com/files/4zrzovbb/website/bf04581e4f329735fd90634f6a1962c13c0bd351.pdf,,documents/anthropic_rsp_v3.1_2026-04-02.pdf,5aa73a3b3155ef856e429711c8d156e18d9b5ce1e28c2e0a74019a2c3c764d7b,documents/anthropic_rsp_v3.1_2026-04-02.txt,yes,changelogs/anthropic_rsp_v3.1_2026-04-02_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://www-cdn.anthropic.com/files/4zrzovbb/website/bf04581e4f329735fd90634f6a1962c13c0bd351.pdf | redline PDF; https://cdn.sanity.io/files/4zrzovbb/website/64cb0ac5eb0f8030187131f490827323e3d53308.pdf,na,"Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20260407205145). PDF CreationDate 2026-03-31. Page entry of April 2, 2026 doubles as the Frontier Safety Roadmap update notice. Redline v3.0 to v3.1 saved in changelogs/."
Anthropic,Responsible Scaling Policy,v3.2,no,2026-04-29,"title page: 'Version 3.2 Effective April 29, 2026'",yes,provider,https://cdn.sanity.io/files/4zrzovbb/website/28c6241900d90410628a8a2003a5572faae4365a.pdf,,documents/anthropic_rsp_v3.2_2026-04-29.pdf,5410e3d986cf6917e9105c3d3a661ccc91bfbcb8672bca18b7752ca394e3f2a1,documents/anthropic_rsp_v3.2_2026-04-29.txt,yes,changelogs/anthropic_rsp_v3.2_2026-04-29_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://cdn.sanity.io/files/4zrzovbb/website/28c6241900d90410628a8a2003a5572faae4365a.pdf | redline PDF; https://cdn.sanity.io/files/4zrzovbb/website/7c534a9e7a82d4411dd568d85ffbcd14ac243a62.pdf,na,Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20260505141510). Redline v3.1 to v3.2 saved in changelogs/.
Anthropic,Responsible Scaling Policy,v3.3,no,2026-05-26,"title page: 'Version 3.3 Effective May 26, 2026'",yes,provider,https://cdn.sanity.io/files/4zrzovbb/website/c11e84981d0a7281a1b229f3fa6af0da66eaf43f.pdf,,documents/anthropic_rsp_v3.3_2026-05-26.pdf,b7e7cc1e72e9371949415522ae3c9e61103cc739c5df64579af32dd941624f42,documents/anthropic_rsp_v3.3_2026-05-26.txt,yes,changelogs/anthropic_rsp_v3.3_2026-05-26_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://cdn.sanity.io/files/4zrzovbb/website/c11e84981d0a7281a1b229f3fa6af0da66eaf43f.pdf | redline PDF; https://cdn.sanity.io/files/4zrzovbb/website/dd0ec579bee2cd144069c478ede3e35ea080ad02.pdf,na,Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20260528170023). PDF CreationDate 2026-05-23. Redline v3.2 to v3.3 saved in changelogs/.
Anthropic,Responsible Scaling Policy,v3.4,no,2026-07-08,"title page: 'Version 3.4 Effective July 8, 2026'",yes,provider,https://cdn.sanity.io/files/4zrzovbb/website/0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a.pdf,,documents/anthropic_rsp_v3.4_2026-07-08.pdf,6247b9e4001fd342827526fabc476c9d4dd6b2041ac00055f0ccda26f4d0b07d,documents/anthropic_rsp_v3.4_2026-07-08.txt,yes,changelogs/anthropic_rsp_v3.4_2026-07-08_revision-account.md,version-history entry; https://www.anthropic.com/responsible-scaling-policy | in-document changelog; https://cdn.sanity.io/files/4zrzovbb/website/0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a.pdf | redline PDF; https://cdn.sanity.io/files/4zrzovbb/website/fbfdce5e4e825a3e089085205a842a9ae8ffac99.pdf,na,"Live bytes match the only Wayback digest of this URL (single distinct digest; first capture 20260710234036). Current version as of 2026-09-02. PDF metadata title 'RSP v3.4 clean - Google Docs', CreationDate 2026-07-07. Redline v3.3 to v3.4 saved in changelogs/."
Anthropic,Anthropic Frontier Compliance Framework,v1,yes,2025-12-19,v2 changelog (FCF p.17); announcement post,no,not retrieved,https://trust.anthropic.com/resources?s=eorilovp4wxk38nxbi7k3&name=anthropic-frontier-compliance-framework,,,,,na,changelogs/anthropic_frontier-compliance-framework_v1_2025-12-19_revision-account.md,announcement post; https://www.anthropic.com/news/compliance-framework-SB53,na,"Withdrawn from the Trust Center by 2026-09-02; only v2 (24 Jul 2026) is listed. Existence and date confirmed by the v2 changelog (v1 19 Dec 2025; v1.1 2 Mar 2026; v1.2 8 Jun 2026). Content never publicly retained; not retrieved. ORIGINAL NOTE: Requires manual download by the author from https://trust.anthropic.com/resources?s=eorilovp4wxk38nxbi7k3&name=anthropic-frontier-compliance-framework. Vanta Trust Center: the resource page is a JS app shell; /doc?s=<slug> endpoints return 'This document could not be found' for the resource slug, and the GraphQL backend requires signed requests. Title taken from the Trust Center resource name; content, format and title not verified."
Anthropic,Anthropic Frontier Compliance Framework,v1.1,yes,2026-03-02,v2 changelog (FCF p.17),no,not retrieved,https://trust.anthropic.com/resources?s=gi5v45ke7aezh7b04e82s&name=anthropic-frontier-compliance-framework-%5Bfeb-2026-%5D,,,,,no,changelogs/anthropic_frontier-compliance-framework_v1.1_2026-03-02_revision-account.md,,na,"Withdrawn from the Trust Center by 2026-09-02; only v2 (24 Jul 2026) is listed. Existence and date confirmed by the v2 changelog (v1 19 Dec 2025; v1.1 2 Mar 2026; v1.2 8 Jun 2026). Content never publicly retained; not retrieved. The ""[Feb 2026]"" Trust Center resource most plausibly corresponds to v1.1 (2 Mar 2026); exact correspondence unverified. ORIGINAL NOTE: Requires manual download by the author from https://trust.anthropic.com/resources?s=gi5v45ke7aezh7b04e82s&name=anthropic-frontier-compliance-framework-%5Bfeb-2026-%5D (an earlier resource URL with s=zlvia2tuejudgjp6f7jt also existed). Existence rests on the Trust Center resource name and Wayback captures; content not verified. Same retrieval limits as the Dec 2025 row."
