"provider","base_version","variant_version","diff_passage_base","diff_passage_variant","material","materiality_dims","category","rationale"
"Anthropic","v2.0","v2.0-reupload-20241101","September 19, 2023 RSP-2023 (aka RSP v1.0): Initial version.","September 19, 2023 RSP-2023 (aka RSP v1.0): Initial version, link here.","no","","none (changelog text)","Only difference in extracted text: a hyperlink to the v1.0 PDF added to the changelog entry. No commitment text changes. Not material (cross-reference)."
"Anthropic","v2.1","v2.1-reupload-20250402","[table of contents] Appendix C: Detailed Capability Thresholds 16 Changelog 17","[table of contents] Appendix C: Detailed Capability Thresholds 16","no","","none (table of contents)","Only difference: the table-of-contents line 'Changelog 17' present in the 1 April file is absent from the 2 April file; the Changelog section itself is unchanged. Not material (reformatting). Ten further hunks are page-number extraction noise."
"OpenAI","v2","v2-reupload-20250611","Eight punctuation hunks: an en dash '–' after 'increasingly agentic' and 'e.g.' in seven places","'-' and 'e.g.,' in the same seven places","no","","none (punctuation)","Typographical changes only (dash glyph, comma after e.g.). Not material."
"OpenAI","v2","v2-reupload-20250611","Lack of Autonomous Capability: The model is not capable of carrying out tasks autonomously, including the risk of severe harm. Value alignment: The model consistently applies human values in novel settings (without any instructions) to avoid taking actions that cause harm, and has shown sufficiently minimal indications of misaligned behaviors like deception or scheming. • Value Alignment: The model consistently applies human values ...","Lack of Autonomous Capability: The model is not capable of carrying out tasks autonomously, including the risk of severe harm. • Value Alignment: The model consistently applies human values in novel settings ...","no","","M","The 15 April extraction contains the 'Value alignment' claim twice (an overlaid duplicate text run in the PDF, section C.2 page 19); the 11 June file contains it once. Both PDFs render the claim once on pages 12, 19 and 20 (checked with a PDF text search). Not material: no change to the rule."
"Google DeepMind","v2.0","v2.0-reupload-20250213","Roland S. Zimmerman,","Roland S. Zimmermann,","no","","none (acknowledgements)","Spelling correction of a contributor's surname. Not material."
"Google DeepMind","v2.0","v2.0-reupload-20250328","[end of document after acknowledgements] ... Redwood Research, UK AI Safety Institute, and several independent researchers. 8","... Redwood Research, UK AI Safety Institute, and several independent researchers. 8 Updates and changes Past versions ● Version 1.0 (17 May 2024). Corrections and non-substantive changes ● Fixed an incorrect link to Google's AI Principles webpage (21 March 2025). 9","no","","none (version note)","An 'Updates and changes' page was appended recording a link correction dated 21 March 2025. The corrected hyperlink target is not visible in extracted text. No commitment text changes. Not material (cross-reference). Four further hunks are footnote reflow ('AI-assisted' and footnote 14 moving across a page break) and the Zimmermann spelling fix, all extraction-order or typographic."
"xAI","2025-08-20","2025-08-20-reupload-20250822","These steps were identified in close collaboration with domain matter experts at SecureBio, NIST, AISI, RAND, and EBRC.","These steps were identified in close collaboration with domain matter experts at SecureBio, NIST, RAND, and EBRC.","no","3","EC3","The only textual difference: 'AISI' removed from the list of organisations with which the biological-weapons filter topics 'were identified'. The sentence is a past-tense description of how the filter list was built, not a standing commitment about future practice (codebook section 10, point-in-time versus standing). Coded not material on that ground; ALTERNATIVE READING: if adjudicators treat the collaborator list as part of a standing method commitment, this is a removal of a named third party (dim 3, W). Confidence low; flagged for adjudication."
"Meta","v1.1","v1.1-reupload-20250328","our Frontier AI Framework relates to our forthcoming most advanced models and systems that match or exceed the capabilities present in the most advanced models.","our Frontier AI Framework relates to our forthcoming models and systems that exceed the capabilities present in the most advanced models.","yes","1","EC1","Scope statement of the whole framework: 'most advanced' and 'match or' deleted, so models that match (rather than exceed) frontier capabilities are no longer stated to be covered. Narrows the set of model classes every commitment in the document applies to (dim 1). Material."
"Meta","v1.1","v1.1-reupload-20250328","The risk assessment also considers the planned release (i.e. internal deployment, limited release, or full release)","The risk assessment also considers the planned release (i.e. closed deployment, limited release, or full release)","no","","EC3","'internal deployment' renamed 'closed deployment' in the list of release types the risk assessment considers. Terminology change; the set of release types is unchanged. Not material. Alternative reading: 'closed' could include external closed deployments not covered by 'internal'; if so dim 1. Low confidence."
"Meta","v1.1","v1.1-reupload-20250328","identify the most urgent catastrophic outcomes – i.e., cybersecurity and chemical and biological weapons risks – and focus our efforts on avoiding them","identify the most urgent catastrophic outcomes – i.e., within the domains of cybersecurity and chemical and biological weapons – and focus our efforts on avoiding these outcomes","no","","EC1","Rewording of the same two risk domains; modal force and scope unchanged. Not material."
"Meta","v1.1","v1.1-reupload-20250328","Net new The outcome cannot currently be realized as described (i.e. at that scale / by that threat actor / for that cost) with existing tools and resources.","Net new The outcome cannot currently be realized as described (e.g. at that scale / by that threat actor / for that cost) with existing tools and resources.","no","","EC2","In the definition of the 'Net new' criterion for a catastrophic outcome, 'i.e.' becomes 'e.g.', turning an exhaustive list of respects (scale, actor, cost) into an illustrative one. Coded not material as a change to an example that does not alter the rule; ALTERNATIVE READING: the criterion becomes looser (dim 2). Low confidence; flagged for adjudication."
