"provider","v_i","v_next","traced","disclosure_regime","regime_source","n_commitments_v_i","n_material_changes","n_announced","n_silent","n_ncl"
"Anthropic","v1.0","v2.0","yes","itemised","In-document 'Changelog' entry 'October 15, 2024 RSP-2024' listing named changes ('ASL definition changed:', ...), PDF pp.21-22; RSP page version-history entry; announcement post https://www.anthropic.com/news/announcing-our-updated-responsible-scaling-policy (narrative). No redline.","73","75","33","42","0"
"Anthropic","v2.0","v2.1","no","itemised","RSP page version-history entry 'March 31, 2025' with numbered list of changes; in-document 'Changelog' entry. No redline offered for this pair.","","","","",""
"Anthropic","v2.1","v2.2","no","redline","Provider-published redline PDF changelogs/anthropic_rsp_v2.2_2025-05-14_redline.pdf; also itemised page entry and in-document changelog.","","","","",""
"Anthropic","v2.2","v3.0","yes","narrative","Announcement post https://www.anthropic.com/news/responsible-scaling-policy-v3 (prose); RSP page entry 'February 24, 2026' and in-document changelog say only 'comprehensive rewrite' and link to the post. No redline, no itemised list.","69","86","29","57","0"
"Anthropic","v3.0","v3.1","no","redline","Provider-published redline PDF changelogs/anthropic_rsp_v3.1_2026-04-02_redline.pdf; also itemised page entry and in-document changelog.","","","","",""
"Anthropic","v3.1","v3.2","no","redline","Provider-published redline PDF changelogs/anthropic_rsp_v3.2_2026-04-29_redline.pdf; also itemised page entry and in-document changelog.","","","","",""
"Anthropic","v3.2","v3.3","no","redline","Provider-published redline PDF changelogs/anthropic_rsp_v3.3_2026-05-26_redline.pdf; also itemised page entry and in-document changelog.","","","","",""
"Anthropic","v3.3","v3.4","no","redline","Provider-published redline PDF changelogs/anthropic_rsp_v3.4_2026-07-08_redline.pdf; also itemised page entry ('five changes') and in-document changelog.","","","","",""
"OpenAI","beta","v2","yes","itemised","In-document Appendix A 'Change log', twelve numbered items (v2 PDF pp.15-16); announcement post 'Our updated Preparedness Framework' (narrative).","41","41","16","25","0"
"Google DeepMind","v1.0","v2.0","no","narrative","Announcement post https://deepmind.google/blog/updating-the-frontier-safety-framework/ (prose). No in-document changelog in any v2.0 file (the 21 March 2025 file adds only a link-correction note).","","","","",""
"Google DeepMind","v2.0","v3.0","yes","narrative","Announcement post 'Strengthening our Frontier Safety Framework' with 'Key updates to the Framework' prose; in-document section 5.3 lists version dates only.","33","30","8","22","0"
"Google DeepMind","v3.0","v3.1","yes","itemised","In-document section 5.3 'Past Updates and Changes' bullet list under 'Version 3.1 (April 17, 2026)' (six bullets); post section 'FSF 3.1: Introducing tracked capability levels' added by in-place edit (narrative).","39","27","12","15","0"
"xAI","draft-2025-02-10","draft-2025-02-20","yes","none","No changelog, version history, post or statement found (changelogs/xai_rmf_draft-2025-02-20_2025-02-20_revision-account.md lists sources checked).","42","1","0","0","1"
"xAI","draft-2025-02-20","2025-08-20","yes","none","No account found (changelogs/xai_rmf_2025-08-20_2025-08-20_revision-account.md lists sources checked); x.ai/safety says only 'our updated Risk Management Framework'.","42","35","0","0","35"
"xAI","2025-08-20","2025-12-30","yes","none","No account found (changelogs/xai_faif_2025-12-30_2025-12-30_revision-account.md); the Dec 2025 document does not mention the RMF or state that it replaces it.","43","8","0","0","8"
"xAI","2025-12-30","2026-06-30","yes","none","No account found (changelogs/xai_faif_2026-06-30_2026-06-30_revision-account.md).","48","45","0","0","45"
"Meta","v1.1","v2","yes","itemised","In-document 'Appendix II - Change log' (v2 PDF p.44) with per-item entries incl. 'Renamed from Frontier AI Framework'; announcement post 'Scaling How We Build and Test Our Most Advanced AI' (narrative).","49","80","25","55","0"
"Microsoft","v1","feb-2026","yes","itemised","In-document 'Appendix II – Change log' (Feb 2026 PDF p.16). No announcement post found.","40","21","5","16","0"
"Naver","2024","v2.0","yes","narrative","ASF 2.0 PDF section '2. The Direction of ASF 2.0' (pp.4-5, prose); English press release seq=10034489 (prose). No itemised list.","17","22","6","16","0"
