provider,document,version,section_heading,sentence_index,sentence_verbatim,modal_verbs_found
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Anthropic's Responsible Scaling Policy,2,"As AI models become more capable, Anthropic believes that they will create major economic and social value, but will also present increasingly severe risks.",will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Anthropic's Responsible Scaling Policy,3,"With this document we are making a public commitment to a concrete framework for managing these risks—one that will evolve over time, but that seeks to establish clear expectations and accountability in its initial form.",commitment;will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Anthropic's Responsible Scaling Policy,10,We thank ARC Evals for substantial advice and collaboration on the development of our commitments.,commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,22,"Central to our plan is the concept of AI safety levels (ASL), which are modeled loosely after the US government’s biosafety level (BSL) standards for handling of dangerous biological materials.",plan
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,33,Anthropic’s commitment to follow the ASL scheme thus implies that we commit to pause the scaling2 and/or delay the deployment of new models whenever our scaling ability outstrips our ability to comply with the safety procedures for the corresponding ASL.,commit;commitment
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,35,The ASL system thus has an unavoidable component of “building the airplane while flying it”— we will have to start acting on many provisions of this policy before others can reasonably be specified.,will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,38,"Rather than try to define all future ASLs and their safety measures now (which would almost certainly not stand the test of time), we will instead take an approach of iterative commitments.",commitments;will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,39,"By iterative, we mean we will define ASL-2 (current system) and ASL-3 (next level of risk) now, and commit to define ASL-4 by the time we reach ASL-3, and so on.",commit;will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,40,"Towards the end of this document we speculate about ASL-4+, but only to give a flavor of our current thinking and early preparation (which will likely change a lot as we get closer to ASL-4).",will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,41,"This document will be periodically updated as we learn more, according to an “Update Process” described below.",will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Framework,42,"Updates will involve both defining higher ASL levels, and making course corrections to existing levels and safety measures as we learn more.",will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Sources of Catastrophic Risk,45,"For our initial commitments, we design our evaluations and safety measures with these risks in mind:",commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,52,"ASL-2: The security and safety measures we commit to take with current state-of-the-art models, many of which we have previously committed to.",commit;committed
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,54,"ASL-3: A set of dangerous capabilities we think could arise in near-future models, along with the Containment Measures we commit to implement before training such a model, and the Deployment Measures we commit to take before deploying it.",commit;could
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,60,ASL-4 iterative commitment: We commit to define ASL-4 evaluations before we first train ASL-3 models (i.e. before continuing training beyond when ASL-3 evaluations are triggered).,commit;commitment
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,61,"Similarly, we commit to define ASL-5 evaluations before training ASL-4 models, and so forth.",commit
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,64,We commit to pause training before a model's capability level outstrips the Containment Measures we have implemented.,commit
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,67,"Notably, we commit to a formal process for modifying the current safety levels in response to new information, and defining future levels.",commit
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,68,"The scheme above is designed to ensure that we will always have a set of safety guardrails that govern training and deployment of our next model, without having to define all ASLs at the outset.",will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,84,These overlap significantly with our White House voluntary commitments.,commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,Initial Commitments,100,"As can be seen in the table, our most significant immediate commitments include a high standard of security for ASL-3 containment, and a commitment not to deploy ASL-3 models until thorough red-teaming finds no risk of catastrophe.",commitment;commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Capabilities and Threat Models,107,"For this reason, we commit to periodic evaluations of our future models for ASL-3 warning signs.",commit
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Containment Measures,108,"We do not believe that merely possessing today’s models poses significant risk of catastrophe; however, in keeping with our commitments earlier this year, we will treat AI model weights as core intellectual property with regards to cybersecurity and insider threat risks.",commitments;will
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Containment Measures,109,"You can read more about our concrete security commitments in the appendix, which include limiting access to model weights to those whose job function requires it, establishing a robust insider threat detection program, and storing and working with the weights in an appropriately secure environment to reduce the risk of unsanctioned release.",commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Containment Measures,110,"More broadly, we plan to use future ASLs in part to guide and focus our safety and security investments.",plan
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Containment Measures,111,"Additionally, we commit to periodically evaluating for ASL-3 warning signs (described in the Evaluation Protocol below).",commit
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Containment Measures,115,"4 Note: We intend ""ASL-N"" to primarily refer to a specific set of safety measures that we might implement, similar to how BSL-N is a specification of safety measures required to meet a certain standard.",intend
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Deployment Measures,120,"To address these risks, our ASL-2 deployment commitments include:",commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-2 Deployment Measures,131,"Our ASL-2 deployment measures overlap substantially with the White House voluntary commitments that we and other companies made in July, which we also continue to maintain.",commitments
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-3 Capabilities and Threat Models,138,"6 There are a very limited number of use cases where, at ASL-2, we would consider disabling this tooling.",consider
Anthropic,Anthropic's Responsible Scaling Policy,v1.0,ASL-3 Capabilities and Threat Models,139,These may be negotiated on a case by case basis and must be considered exclusively for extremely low risk use cases that actively involve Anthropic personnel.,considered;may;must
