unit_id,pair_id,provider,v_i,v_next,category,v_i_section,v_i_text,v_next_section,v_next_text,E_material,E_outcome,E_materiality_dims,E_announcement,E_notes
U01,XAI-4,xAI,2025-12-30,2026-06-30,EC2,Addressing Risks of Loss of Control > 2. Risk Assessment,Thresholds: Our risk acceptance criteria for system deployment is maintaining a dishonesty rate of less than 1 out of 2 on MASK. We plan to add additional thresholds tied to other benchmarks.,2.3. Systemic risk acceptance determination,"xAI applies a systemic risk acceptance criteria to each identified risk, incorporating a margin of security, to determine whether each identified systemic risk and the overall systemic risk are acceptable and",,,,,
U02,XAI-1,xAI,draft-2025-02-10,draft-2025-02-20,G,Operational and Societal Risks > 1.Public transparency and third-party review,1. Risk Management Framework compliance: regularly review our compliance with the Framework.,Operational and Societal Risks > 1.Public transparency and third-party review,1. Risk Management Framework compliance:regularly reviewour compliance with the Framework.,,,,,
U03,GDM-2,Google DeepMind,v3.0,v3.1,EC2,1.3 Outline of Our Risk Assessment Process,"For each risk domain, we conduct aspects of our risk assessment at various moments throughout the model development process, both before and after deployment. We conduct a risk assessment for the first external deployment of a new frontier AI model. For subsequent versions of the model, we conduct a further risk assessment if the model has meaningful new capabilities or a material increase in performance, until the model is retired or we deploy a more capable model.",1.3.2 Inherent Risk Assessment,"We conduct a critical capability assessment prior to the first external deployment4 of a new frontier AI model. For external deployment of subsequent versions of the model, we determine whether a substantial modification has been made and whether a further critical capability assessment is required if (1) the model has meaningful new capabilities or material increases in performance; and (2) we believe such material capability increase could materially undermine the justification...",,,,,
U04,XAI-4,xAI,2025-12-30,2026-06-30,EC5,Operational and Societal Risks > 1. Public transparency and third-party review,"4. Survey: Survey employees for their views and projections of important future developments in AI, e.g., capability gains and benchmark results.",(none),NONE,,,,,
U05,NAV-1,Naver,2024,v2.0,EC4,(none),NONE,Key Sharing and Collaboration Activities,We enhance the credibility of our governance by seeking advice from independent external experts in AI Safety evaluations and key decision-making processes.,,,,,
U06,GDM-1,Google DeepMind,v2.0,v3.0,M,(none),NONE,1.4 Response Plans and Mitigations,"We apply safety and security mitigations throughout the lifecycle of our models, including as part of our training and model development phase and, where appropriate, before CCLs are reached as described in the process below.",,,,,
U07,GDM-2,Google DeepMind,v3.0,v3.1,S,(none),NONE,2.1.1 Security Mitigations,"Using Google’s Secure AI Framework (SAIF) and Google’s common security infrastructure, we implement state-of-the-art security mitigations.",,,,,
U08,ANT-2,Anthropic,v2.2,v3.0,EC3,4.1. ASL-3 Deployment Standard,Red-teaming:Conduct red-teaming that demonstratesthat threat actors with realistic access levels and resources are highly unlikely to be able to consistently elicit information from any generally accessible systems that greatly increases their ability to cause catastrophic harm relative to other available tools.10,1. Our Recommendations for Industry-Wide Safety (company column),"We will maintain or improve on our ASL-3 protections, which include classifier guards at least as robust as our initial Constitutional Classifiers; access controls for trusted users with exemptions to classifier guards; red-teaming, bug bounties, and threat intelligence for continually assessing the threat of jailbreaks; and a number of noteworthy security controls.",,,,,
U09,ANT-1,Anthropic,v1.0,v2.0,M,ASL-3 Deployment Measures,"As part of this, Anthropic will maintain a publicly available channel for privately reporting model vulnerabilities.",Appendix B: ASL-2 Standard,"Vulnerability reporting channels: Clearly indicated paths within the product for users to report harmful or dangerous model outputs, as well as a bug bounty for universal jailbreaks.",,,,,
U10,MSFT-1,Microsoft,v1,feb-2026,EC4,Deeper capability assessment,"As appropriate, evaluations involve qualified and expert external actors that meet relevant security standards, including those with domain-specific expertise.",Deeper capability assessment,"We engage qualified third parties to conduct evaluations in ways that are appropriate to the risk profile of the model; sometimes this requires granting API access for the third party to conduct evaluations, and sometimes it requires a review of testing conducted internally. The decision to involve qualified and expert external actors that meet relevant security standards, including those with domain-specific expertise, is made by internal experts who are independent from the model development team.",,,,,
U11,NAV-1,Naver,2024,v2.0,G,(none),NONE,6. Operational Structure,"Through the “Consultation on Human-centered AI’s Ethics and Safety Considerations 2.0 (CHEC 2.0)”, we systematically track how AI is used across all services and continuously respond to changes in the environment.",,,,,
