pair_id,provider,v_i,v_next,commitment_id,category,v_i_section,v_i_text,v_next_section,v_next_text,outcome,materiality_dims,material,announcement,changelog_pointer,confidence,rationale,flags,ADJ_outcome,ADJ_material,ADJ_dims,ADJ_announcement,ADJ_flags,ADJ_mode,ADJ_notes,in_second_coder_sample
ANT-1,Anthropic,v1.0,v2.0,ANT-1-001,EC6,Framework,Anthropic's commitment to follow the ASL scheme thus implies that we commit to pause the scaling2 and/or delay the deployment of new models whenever our scaling ability outstrips our ability to comply with the safety procedures for the corresponding ASL.,6.2. Restrict Deployment and Further Scaling,"In any scenario where we determine that a model requires ASL-3 Required Safeguards but we are unable to implement them immediately, we will act promptly to reduce interim risk to acceptable levels until the ASL-3 Required Safeguards are in place: ... Interim measures: The CEO and Responsible Scaling Officer may approve the use of interim measures that provide the same level of assurance as the relevant ASL-3 Standard but are faster or simpler to implement.",W,6,yes,SIL,NONE FOUND,low,'commit to pause the scaling and/or delay the deployment of new models whenever' compliance is outstripped becomes 'act promptly to reduce interim risk' through CEO/RSO-approved 'interim measures'; the consequence of being unable to comply changes from pause or delay to interim risk reduction.,"Alternative reading R: the changelog opens with 'maintaining our commitment not to train or deploy models unless we have implemented adequate safeguards' and interim measures must 'provide the same level of assurance'; adjudicator to decide whether the interim-measure route is a new consequence. Footnote 13 ('minimize changes to customer experience') sits inside this counterpart. Related rows 005, 064, 065. Candidate 4.",W,yes,6,SIL,,adjudicated,"Agree; pause commitment becomes ""act promptly to reduce interim risk"". Headline example.",no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-002,EC2,Initial Commitments,"ASL-4 iterative commitment: We commit to define ASL-4 evaluations before we first train ASL-3 models (i.e. before continuing training beyond when ASL-3 evaluations are triggered). Similarly, we commit to define ASL-5 evaluations before training ASL-4 models, and so forth.",5. Follow-Up Capability Assessment,"We will update this policy with the Capability Thresholds for the ASL-4 Required Safeguards. We are currently working on defining any further Capability Thresholds that would mandate ASL-4 Required Safeguards. ... As noted, before deploying any model that passes the Capability Thresholds for the ASL-3 Required Safeguards, we will conduct a capability assessment against the forthcoming Capability Thresholds for the ASL-4 Required Safeguards.",W,2,yes,SIL,NONE FOUND,medium,"'before we first train ASL-3 models' becomes 'before deploying any model that passes the Capability Thresholds'; the point by which the next level must be defined moves from pre-training to pre-deployment, and the 'ASL-5 ... and so forth' generalisation has no counterpart.","Merged candidates 6, 7, 14, 15, 36 and response-policy step (2b) ('do not resume training until the next safety level has been defined'). Alternative: 6.1 'We may also continue to train more capable models, conducting preliminary and comprehensive assessments as before' as counterpart gives the same W.",W,yes,2,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-003,G,Procedural Commitments,"Follow an ""Update Process"" for this document, including approval by the board of directors, following consultation with the Long-Term Benefit Trust (LTBT). Any updates will be noted and reflected in this document before they are implemented.",7.1. Internal Governance,"Policy changes: Changes to this policy will be proposed by the CEO and the Responsible Scaling Officer and approved by the Board of Directors, in consultation with the Long-Term Benefit Trust.18 The current version of the RSP is accessible at www.anthropic.com/rsp. We will update the public version of the RSP before any changes take effect and record any differences from the prior draft in a change log.",S,5,yes,SIL,NONE FOUND,medium,"Approver ('board of directors', LTBT consulted) and pre-implementation publication are unchanged; 'record any differences from the prior draft in a change log' adds a disclosure obligation absent from 'Any updates will be noted and reflected in this document'.","Merged candidates 9, 10, 17 and procedural commitment 1. Alternative R: 'noted and reflected in this document' could be read as already covering a change record. Footnote 18 (competitor clause) coded separately in ANT-1-004.",S,yes,5,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-004,EC6,Procedural Commitments,"However, in a situation of extreme emergency, such as when a clearly bad actor (such as a rogue state) is scaling in so reckless a manner that it is likely to lead to lead to imminent global catastrophe if not stopped (and where AI itself is helpful in such defense), we could envisage a substantial loosening of these restrictions as an emergency response. Such action would only be taken in consultation with governmental authorities, and the compelling case for it ...",7.1. Internal Governance,"It is possible at some point in the future that another actor in the frontier AI ecosystem will pass, or be on track to imminently pass, a Capability Threshold without implementing measures equivalent to the Required Safeguards such that their actions pose a serious risk for the world. In such a scenario, because the incremental increase in risk attributable to us would be small, we might decide to lower the Required Safeguards. ...",W,6,yes,SIL,NONE FOUND,medium,"The condition for loosening moves from 'a clearly bad actor (such as a rogue state) ... likely to lead to imminent global catastrophe' to 'another actor ... will pass, or be on track to imminently pass, a Capability Threshold without implementing measures equivalent to the Required Safeguards'; 'only ... in consultation with governmental authorities' and a public 'compelling case' are replaced by acknowledging risk and making a case to the U.S. government.",example C (broadened suspension condition); example I. Category alternative G (policy-modification clause). v_i is the sub-bullet of procedural commitment 1; v_next is footnote 18 to 7.1.7. v_i quote truncated at 80 words. Candidate 45.,W,yes,6,SIL,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-005,EC6,Initial Commitments,We commit to pause training before a model's capability level outstrips the Containment Measures we have implemented.,6.2. Restrict Deployment and Further Scaling,"Monitoring pretraining: We will not train models with comparable or greater capabilities to the one that requires the ASL-3 Security Standard.14 This is achieved by monitoring the capabilities of the model in pretraining and comparing them against the given model. If the pretraining model's capabilities are comparable or greater, we will pause training until we have implemented the ASL-3 Security Standard and established it is sufficient for the model.",W,6,yes,SIL,NONE FOUND,medium,"'pause training' at 'will' force is retained; the condition to resume narrows from 'the Containment Measures we have implemented' (security, compartmentalisation and ASL-4 warning-sign definition) to 'the ASL-3 Security Standard' alone, with footnote 14 stating security alone is sufficient to continue training.","Merged candidates 16, 55, 64, 65 and response-policy step (2) ('pause training and analyze the level of risk'). Both directions present: v2.0 drops the step (2a) route of re-evaluating an 'overly conservative' evaluation (ANT-1-063). Alternative R if Containment Measures are read as security only.",W,yes,6,SIL,MIX,adjudicated,Agree.,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-006,EC2,ASL-2 Containment Measures,"Additionally, we commit to periodically evaluating for ASL-3 warning signs (described in the Evaluation Protocol below).",3.1. Preliminary Assessment,We will routinely test models to determine whether their capabilities fall sufficiently far below the Capability Thresholds such that we are confident that the ASL-2 Standard remains appropriate.,R,,no,NA,NA,high,'commit to periodically evaluating' and 'will routinely test' carry the same modal force and the same object (routine testing of models against the next-level threshold); cadence and threshold changes are coded in ANT-1-060 and ANT-1-058.,"Merged candidates 21, 25, 83.",R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-007,S,ASL-2 Containment Measures,"we will treat AI model weights as core intellectual property with regards to cybersecurity and insider threat risks. You can read more about our concrete security commitments in the appendix, which include limiting access to model weights to those whose job function requires it, establishing a robust insider threat detection program, and storing and working with the weights in an appropriately secure environment to reduce the risk of unsanctioned release.",1. Background,"At present, all of our models must meet the ASL-2 Deployment and Security Standards. ... The ASL-2 Security Standard requires a security system that can likely thwart most opportunistic attackers and includes vendor and supplier security reviews, physical security measures, and the use of secure-by-design principles.",R,,no,NA,NA,high,"'will treat ... as core intellectual property' with the appendix measures becomes 'must meet the ASL-2 ... Security Standards'; obligation strength and the opportunistic-attacker scope are unchanged, and the itemised measures are traced in ANT-1-008 to 013.","Merged candidates 22, 23, 90 and the ASL table cell 'Harden security against opportunistic attackers'. 'limiting access to model weights to those whose job function requires it' maps to Appendix B item 3 'An insider risk program should tie access to job roles'.",R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-008,S,ASL-2 and ASL-3 Security Commitments,Vendor and supplier security must be regularly reviewed to ensure that they meet security standards. Software updates should be frequently managed and compliance monitoring automated where possible.,Appendix B: ASL-2 Standard,Supply chain: Vendor and supplier security must be regularly reviewed to ensure that they meet security standards. Software updates should be frequently managed and compliance monitoring automated where possible.,R,,no,NA,NA,high,"Text identical apart from the added label 'Supply chain'; modal force ('must', 'should') and scope unchanged.",Added from full text (appendix bullet).,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-009,S,ASL-2 and ASL-3 Security Commitments,Physical security should entail visitor access logs and restrictions protect on-site assets. Highly sensitive interactions should utilize advanced authentication like security keys. Network visibility should be maintained and office access controls and communications should maximize on-site protections.,Appendix B: ASL-2 Standard,Offices: Physical security should entail visitor access logs and restrictions protect on-site assets. Highly sensitive interactions should utilize advanced authentication like security keys. Network visibility should be maintained and office access controls and communications should maximize on-site protections.,R,,no,NA,NA,high,Text identical apart from the added label 'Offices'; modal force and scope unchanged.,Added from full text (appendix bullet).,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
ANT-1,Anthropic,v1.0,v2.0,ANT-1-010,S,ASL-2 and ASL-3 Security Commitments,"People-critical processes must represent a key aspect of cybersecurity. Mandatory periodic infosec training educates all employees on secure practices, like proper system configurations and strong passwords, and fosters a proactive 'security mindset'. Fundamental infrastructure and policies promoting secure-by-design and secure-by-default principles should be incorporated into the engineering process. An insider risk program should tie access to job roles. Rapid incident response protocols must be deployed.",Appendix B: ASL-2 Standard,"Workforce: People-critical processes must represent a key aspect of cybersecurity. Mandatory periodic infosec training educates all employees on secure practices, like proper system configurations and strong passwords, and fosters a proactive “security mindset.” Fundamental infrastructure and policies promoting secure-by-design and secure-by-default principles should be incorporated into the engineering process. An insider risk program should tie access to job roles. Rapid incident response protocols must be deployed.",R,,no,NA,NA,high,Text identical apart from the added label 'Workforce' and quotation-mark typography; modal force and scope unchanged.,Added from full text (appendix bullet).,R,no,,NA,,accepted,Accepted from first pass (spot-check tier).,no
